Titre,Categorie,Description,Lien,Phase,Type
@vue/test-utils,Frontend,Utilitaires de tests pour composants Vue,https://test-utils.vuejs.org/,Phase 2,Documentation
A Philosophy of Software Design — John Ousterhout,Architecture,Alternative moderne a Clean Code,,Toutes,Livre
AssertJ,Backend,Assertions fluides pour Java,https://assertj.github.io/doc/,Phase 1,Documentation
Baeldung,Backend,Tutoriels Java et Spring de qualite,https://www.baeldung.com/,Toutes,Documentation
Bruno,Outils,Client HTTP open source,https://docs.usebruno.com/,Phase 1,Documentation
Bucket4j,Backend,Rate limiting Java,https://bucket4j.com/,Phase 3,Documentation
Claude API (Anthropic),API externe,API IA pour les indices socratiques,https://docs.anthropic.com/,Phase 4,Documentation
Clean Code — Robert C. Martin,Architecture,SOLID et bonnes pratiques de code,,Toutes,Livre
Coding Dojo,Katas,Catalogue de katas classiques,https://codingdojo.org/kata/,Toutes,Ressource
Continuous Delivery — Dave Farley,Infrastructure,Chaine YouTube CI/CD et ingenierie logicielle,https://www.youtube.com/@ContinuousDelivery,Toutes,Youtube
Conventional Commits,Outils,Specification des messages de commit,https://www.conventionalcommits.org/fr/v1.0.0/,Phase 0,Documentation
Conventional Commits KataSensei,Guide interne,Guide KataSensei — exemples de commits en francais,https://www.notion.so/33047a063e5481239921ec4986ad78a7,Toutes,Guide KS
Cyber-Dojo,Katas,Katas en TDD directement dans le navigateur,https://cyber-dojo.org/,Toutes,Ressource
DataGrip,Outils,Client base de donnees integre IntelliJ,https://www.jetbrains.com/help/datagrip/getting-started.html,Phase 1,Documentation
DDD & Clean Architecture (Khalil),Architecture,DDD applique en TypeScript et Java,https://khalilstemmler.com/,Phase 2,Ressource
Designing Data-Intensive Applications — Martin Kleppmann,Architecture,Pour la v2 — architecture distribuee,,Toutes,Livre
Docker,Infrastructure,Documentation officielle Docker,https://docs.docker.com/,Phase 0,Documentation
Docker multi-stage builds,Infrastructure,Optimisation images Docker avec le multi-stage,https://docs.docker.com/build/building/multi-stage/,Phase 7,Documentation
Exercism,Katas,Katas avec mentoring,https://exercism.org/,Toutes,Ressource
Fireship,Frontend,Explications rapides Vue et TypeScript,https://www.youtube.com/@Fireship,Toutes,Youtube
