Compétence,Acquise,Catégorie,Phase,Étape
Analyser le bundle front avec rollup-plugin-visualizer,No,Performances,Phase 2,2.12
Appliquer le cycle TDD Red/Green/Refactor,No,TDD,Phase 1,1.2
Appliquer le pattern Decorator pour le logging,No,Design patterns,Phase 6,6.3
Appliquer les 5 principes SOLID sur des exemples KataSensei,No,Design patterns,Phase 3,3.2
"Appliquer les patterns Strategy, Factory, Builder",No,Design patterns,Phase 4,4.3
Comprendre la protection contre SQL Injection via JPA,No,Sécurité,Phase 1,1.5
Configurer BCrypt et messages d'erreur génériques,No,Sécurité,Phase 3,3.4
Configurer CORS strict avec liste blanche,No,Sécurité,Phase 3,3.6
Configurer Docker Compose sans Docker Desktop,No,CI/CD,Phase 0,0.7
"Configurer ESLint, Prettier, Husky, Conventional Commits",No,CI/CD,Phase 0,0.6
Configurer IntelliJ Ultimate pour Java et Vue,No,CI/CD,Phase 0,0.10
Configurer JPA et écrire des migrations Flyway,No,Archi hexagonale,Phase 1,1.3
Configurer le cache Redis avec @Cacheable,No,Performances,Phase 5,5.3
"Configurer les headers HTTP de sécurité (CSP, HSTS)",No,Sécurité,Phase 6,6.4
Configurer ZSH + Oh My Zsh + Powerlevel10k,No,CI/CD,Phase 0,0.2
Construire un pipeline CI/CD complet 5 étapes,No,CI/CD,Phase 7,7.1
"Créer des branded types TypeScript (KataId, UserId)",No,Typage fort,Phase 2,2.1
Créer des index SQL dès la migration initiale,No,Performances,Phase 1,1.4
Créer des mappers comme Anti-Corruption Layer,No,Archi hexagonale,Phase 2,2.8
Créer des ports (interfaces) dans le domaine,No,Archi hexagonale,Phase 2,2.6
"Créer des Value Objects Java (KataId, Email)",No,Typage fort,Phase 3,3.1
Créer et configurer un projet Spring Boot,No,CI/CD,Phase 0,0.4
Créer un Aggregate Root et des Domain Events,No,DDD,Phase 4,4.2
Créer un Anti-Corruption Layer côté front (useHintStream),No,Archi hexagonale,Phase 5,5.5
Créer un composable headless useAsync,No,Design patterns,Phase 2,2.11
Créer un Compound Component Vue avec provide/inject,No,Design patterns,Phase 4,4.4
Créer un Dockerfile multi-stage avec utilisateur non-root,No,Sécurité,Phase 7,7.2
Créer un endpoint REST avec Spring Boot,No,Archi hexagonale,Phase 1,1.1
Créer un endpoint SSE avec authentification,No,Sécurité,Phase 5,5.2
Créer un projet Vue 3 TypeScript strict,No,CI/CD,Phase 0,0.5
Déployer sur http://Fly.io avec pipeline CI minimal,No,CI/CD,Phase 0,0.9
Détecter et corriger les N+1 queries,No,Performances,Phase 4,4.5
Distinguer composables infra (ref/watch) et UI (onMounted),No,Archi hexagonale,Phase 2,2.10
Écrire des tests e2e Playwright front et back,No,TDD,Phase 6,6.2
Écrire des type guards runtime,No,Typage fort,Phase 2,2.4
Écrire des use cases purs testables sans Vue,No,Archi hexagonale,Phase 2,2.7
Écrire un ADR (Architecture Decision Record),No,CI/CD,Phase 0,0.11
Écrire une spec OpenAPI et générer le client TypeScript,No,Archi hexagonale,Phase 6,6.1
Exposer des métriques avec Spring Actuator,No,Performances,Phase 6,6.5
Gérer les timeouts sur les API externes,No,Sécurité,Phase 5,5.6
Implémenter la pagination obligatoire,No,Performances,Phase 5,5.4
Implémenter le Result pattern et AppError union,No,Typage fort,Phase 2,2.3
Implémenter les Domain Events avec Spring Events,No,DDD,Phase 5,5.1
Implémenter Spring Security avec JWT stateless,No,Sécurité,Phase 3,3.3
Implémenter un GlobalExceptionHandler avec Problem Details,No,Sécurité,Phase 1,1.6
Installer et configurer WSL2,No,CI/CD,Phase 0,0.1
Installer Java 21 via SDKMAN,No,CI/CD,Phase 0,0.3
Mettre en place le rate limiting avec Bucket4j,No,Sécurité,Phase 3,3.5
Mettre en place un workflow GitLab avec MR,No,CI/CD,Phase 0,0.8
Modéliser avec des discriminated unions,No,Typage fort,Phase 2,2.2
Refactorer des strings vers des Value Objects Java,No,Refactoring,Phase 3,3.7
Refactorer vers l'archi hexagonale complète,No,Refactoring,Phase 4,4.6
Scanner l'image Docker avec Trivy en CI,No,Sécurité,Phase 7,7.3
Structurer le back en hexagonale (domain/application/infra),No,Archi hexagonale,Phase 4,4.1
Structurer le front en domain/infra/stores/ui,No,Archi hexagonale,Phase 2,2.5
Tuner la JVM pour http://Fly.io,No,Performances,Phase 7,7.4
"Utiliser Optional en Java (orElseThrow, map, isPresent)",No,Archi hexagonale,Phase 1,1.7
Utiliser Pinia comme état seul (jamais de fetch direct),No,Design patterns,Phase 2,2.9
